file_name,file_path,emotion,gender,actor_id
03-01-01-01-01-01-01.wav,D:\Pipeline_Audio_IT5425\ravdess-emotional-speech-audio\Actor_01\03-01-01-01-01-01-01.wav,neutral,male,1
03-01-01-01-01-02-01.wav,D:\Pipeline_Audio_IT5425\ravdess-emotional-speech-audio\Actor_01\03-01-01-01-01-02-01.wav,neutral,male,1
03-01-01-01-02-01-01.wav,D:\Pipeline_Audio_IT5425\ravdess-emotional-speech-audio\Actor_01\03-01-01-01-02-01-01.wav,neutral,male,1
03-01-01-01-02-02-01.wav,D:\Pipeline_Audio_IT5425\ravdess-emotional-speech-audio\Actor_01\03-01-01-01-02-02-01.wav,neutral,male,1
03-01-02-01-01-01-01.wav,D:\Pipeline_Audio_IT5425\ravdess-emotional-speech-audio\Actor_01\03-01-02-01-01-01-01.wav,calm,male,1
03-01-02-01-01-02-01.wav,D:\Pipeline_Audio_IT5425\ravdess-emotional-speech-audio\Actor_01\03-01-02-01-01-02-01.wav,calm,male,1
03-01-02-01-02-01-01.wav,D:\Pipeline_Audio_IT5425\ravdess-emotional-speech-audio\Actor_01\03-01-02-01-02-01-01.wav,calm,male,1
03-01-02-01-02-02-01.wav,D:\Pipeline_Audio_IT5425\ravdess-emotional-speech-audio\Actor_01\03-01-02-01-02-02-01.wav,calm,male,1
03-01-02-02-01-01-01.wav,D:\Pipeline_Audio_IT5425\ravdess-emotional-speech-audio\Actor_01\03-01-02-02-01-01-01.wav,calm,male,1
03-01-02-02-01-02-01.wav,D:\Pipeline_Audio_IT5425\ravdess-emotional-speech-audio\Actor_01\03-01-02-02-01-02-01.wav,calm,male,1
03-01-02-02-02-01-01.wav,D:\Pipeline_Audio_IT5425\ravdess-emotional-speech-audio\Actor_01\03-01-02-02-02-01-01.wav,calm,male,1
03-01-02-02-02-02-01.wav,D:\Pipeline_Audio_IT5425\ravdess-emotional-speech-audio\Actor_01\03-01-02-02-02-02-01.wav,calm,male,1
