file_name,file_path,emotion,gender,actor_id,zcr_mean,spectral_centroid_mean,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,mel_spectrogram_mean
03-01-06-02-02-02-14.wav,D:\Pipeline_Audio_IT5425\ravdess-emotional-speech-audio\Actor_14\03-01-06-02-02-02-14.wav,fearful,female,14,0.10189052,5033.5938,0.41503084,0.32612884,0.2812543,0.26900455,0.3028033,0.3080277,0.2987805,0.38125065,0.3870411,0.39950207,0.42680678,0.43829066,-504.58667,34.55746,-31.639624,-4.7425995,-11.167628,-6.3770566,-21.719921,-4.526497,-13.256851,-14.909799,-0.58302206,-3.2818072,-10.479442,-2.559792,0.021336654,2.561778,7.145606,8.246449,4.40646,3.9381013,2.4801958,-0.052913923,-1.7500142,0.1116413,1.2754796,0.4143218,-3.1642437,0.27957344,-0.7570168,-0.7359107,-2.3925846,-0.5887791,0.029893069,-0.53526425,-1.1222075,-0.32593933,-1.3195505,-0.20995705,1.1092222,-1.2187313,0.19008173
03-01-08-01-01-02-08.wav,D:\Pipeline_Audio_IT5425\ravdess-emotional-speech-audio\Actor_08\03-01-08-01-01-02-08.wav,surprised,female,8,0.06266549,5758.9795,0.4218047,0.3894346,0.4239331,0.48281705,0.56204456,0.62317365,0.637992,0.638917,0.6890088,0.61444104,0.5264472,0.46577373,-646.91315,64.79808,1.8552994,11.193873,1.9319556,9.161091,-5.5480227,10.237468,-7.8167024,-6.40926,2.7511635,-2.9373195,-0.4711521,-4.784115,-4.5490212,1.3553078,0.6590447,1.6134753,-2.4804702,-1.6019886,0.9034515,-0.5994001,-0.5700899,1.9608426,1.0194819,2.6362305,1.1644874,0.97135144,1.0582625,2.1628597,0.9653419,1.2058833,1.7676753,2.1091979,1.4657104,2.430201,1.4269902,0.9800142,2.3976054,3.2522314,0.010577568
03-01-04-02-02-01-18.wav,D:\Pipeline_Audio_IT5425\ravdess-emotional-speech-audio\Actor_18\03-01-04-02-02-01-18.wav,sad,female,18,0.077478155,5649.5386,0.38726547,0.36460397,0.3688838,0.4210889,0.5271287,0.51875657,0.46953273,0.5026205,0.49431512,0.41271394,0.40818715,0.4310685,-519.6918,57.609253,-19.453764,-5.1748724,-9.757169,1.2914567,-17.556606,-10.00234,-10.207294,-17.591532,-13.108753,-3.8839931,0.008614609,-8.961986,-10.97835,0.71961457,-3.7867217,-6.2604294,-2.3318505,-5.3300996,-2.0495057,-0.34799856,1.6438396,5.1612415,4.616069,10.166492,8.197836,3.646138,2.7972767,0.34435228,-3.2824519,-2.371759,-1.3756595,0.21972287,1.5409414,0.19366178,-1.4919698,-3.0936637,-2.3646877,-0.4224425,0.13193774
03-01-02-01-02-02-15.wav,D:\Pipeline_Audio_IT5425\ravdess-emotional-speech-audio\Actor_15\03-01-02-01-02-02-15.wav,calm,male,15,0.063954644,5575.0547,0.5503516,0.5905772,0.6037882,0.5963688,0.6067927,0.58993626,0.6039349,0.6462939,0.66758615,0.66366565,0.6361243,0.5818882,-683.1076,86.40151,6.5527635,18.818043,5.0434623,17.050781,-2.3122835,4.7285557,1.9281409,0.97477674,-0.49099302,-1.2186266,-1.9267793,3.4193096,0.93207836,-0.15028176,-0.035534758,3.5681946,0.35688686,-1.308194,2.1848295,-0.71166354,2.422775,1.3205552,-1.9948341,0.9552992,-0.7440824,-0.66769123,-0.20668517,-0.21575122,-0.4908163,-0.7650477,-0.8665642,-0.8166899,0.26030254,-0.7925507,-0.30543727,1.2955239,-1.2196896,0.5875496,0.005318306
03-01-04-01-01-02-03.wav,D:\Pipeline_Audio_IT5425\ravdess-emotional-speech-audio\Actor_03\03-01-04-01-01-02-03.wav,sad,male,3,0.038785566,4894.5215,0.5458402,0.6127876,0.629071,0.6285376,0.64965796,0.6150696,0.5485883,0.53903013,0.5400135,0.54613686,0.5680835,0.5456101,-691.8411,90.92955,4.4404397,14.528288,1.777668,15.707141,-3.6934361,-0.79453635,-7.786258,0.72319645,-0.22709897,-4.763695,-0.886442,-0.20301387,-4.7686777,0.23240137,-1.6996418,-2.7354994,-0.8866956,-1.9062473,-0.64767176,-2.5420513,-0.4837979,-4.408436,-2.150792,-1.4245716,-4.904022,-0.27473637,-3.2827272,-2.816261,-2.0543263,-1.590773,-2.2857792,-1.510166,-0.95386237,-1.0051397,-0.53519005,-2.7056787,-1.6110382,-0.8072656,0.002433769
03-01-04-01-02-02-16.wav,D:\Pipeline_Audio_IT5425\ravdess-emotional-speech-audio\Actor_16\03-01-04-01-02-02-16.wav,sad,female,16,0.05980926,4254.35,0.32350686,0.28610525,0.28926596,0.30798522,0.35637346,0.41355586,0.40400293,0.42357638,0.38228667,0.34000215,0.3612284,0.3578286,-705.6631,57.349407,5.8494163,13.384483,3.0264778,6.5376444,-8.087293,-6.1363263,-10.887021,-3.044695,-4.964039,-1.3908119,-6.8461847,-7.1847467,-2.5925572,-3.027093,-5.29922,-1.2999215,-4.227897,-4.963595,-3.7191908,-3.4665465,-5.887559,-4.7840705,-2.9900625,-3.650292,-4.3558245,-3.5469725,-5.2754188,-3.9198103,-4.3343463,-3.4248886,-2.437221,-0.33217373,-0.015923496,1.6975439,0.94080555,0.9033832,0.62376714,-0.44712028,0.0040583243
03-01-04-02-02-01-22.wav,D:\Pipeline_Audio_IT5425\ravdess-emotional-speech-audio\Actor_22\03-01-04-02-02-01-22.wav,sad,female,22,0.07542763,6068.9043,0.34489822,0.34254688,0.37183705,0.40022656,0.40363637,0.4479386,0.4951338,0.6259347,0.6940271,0.60381305,0.54015976,0.40988776,-667.50757,65.36162,-3.9817457,10.684461,-6.9276524,11.879462,-6.069501,-3.0258222,-10.405794,-11.769835,-10.280459,-3.9566994,-1.720617,-9.457532,-6.6689215,-0.41374555,-7.647086,1.0098233,-4.8794775,-5.3470497,-3.7912812,-1.2204428,-5.4928718,-2.8189554,-5.927383,-3.9590352,-3.6988025,-4.624648,-2.3290896,-4.8862495,-4.1569796,-3.0182452,-4.6128335,0.07356101,-0.847842,2.2985795,5.0021944,6.622201,5.7082486,6.4341908,0.00905658
03-01-03-01-01-01-12.wav,D:\Pipeline_Audio_IT5425\ravdess-emotional-speech-audio\Actor_12\03-01-03-01-01-01-12.wav,happy,female,12,0.06753856,5249.621,0.40601867,0.39614135,0.48048782,0.5480769,0.48620886,0.4973295,0.49562806,0.49128947,0.47688526,0.44993618,0.42666024,0.4410844,-634.9757,83.63218,-16.486906,5.4437304,2.4057446,7.374163,-11.282814,1.9037899,-5.965931,-10.416774,-2.5082378,-0.12234646,-4.9426627,-1.4106526,-3.4647925,-6.82135,-3.8860848,1.9562721,-5.8230085,-7.7739463,-3.1036851,-3.1748078,-2.7866552,-3.620822,-1.4522554,1.530218,-0.46175218,0.13898407,0.5310157,-0.15748474,-0.9495176,0.7839919,-0.70666933,0.55313766,0.6346012,2.4202197,3.627775,3.4330347,4.2068195,4.714165,0.017511707
03-01-03-01-01-02-17.wav,D:\Pipeline_Audio_IT5425\ravdess-emotional-speech-audio\Actor_17\03-01-03-01-01-02-17.wav,happy,male,17,0.06972715,4874.635,0.39729828,0.42992556,0.4331309,0.47224978,0.54689014,0.61388874,0.5966071,0.61439466,0.63969517,0.5524265,0.47054198,0.43015543,-609.063,71.291046,1.2939909,11.692911,7.4890723,16.844992,-0.23018287,9.317808,-4.469478,-4.917255,-1.798684,3.9414008,4.2078657,-5.5465956,0.4646856,3.9309156,-0.85445285,0.40585208,2.637873,-1.485182,-2.351056,-1.3702636,-1.8862705,-0.52135324,-2.539016,-1.6318543,-1.7675439,-0.86660224,0.09918442,-0.531161,-0.7933543,-0.59268713,-0.85641146,-0.18001293,0.48474717,-1.5573953,0.3648945,1.774135,1.1952904,1.2767899,0.03206374
03-01-03-01-02-02-14.wav,D:\Pipeline_Audio_IT5425\ravdess-emotional-speech-audio\Actor_14\03-01-03-01-02-02-14.wav,happy,female,14,0.06887612,4934.7715,0.33786166,0.3620268,0.38279894,0.36160153,0.3715735,0.37834963,0.37263712,0.34205896,0.32810432,0.32090878,0.35553005,0.34239453,-625.8718,39.718826,-8.870752,4.11613,-4.180976,1.8583627,-16.037657,-1.1596192,-12.393284,-7.520564,-3.7112525,-7.036233,-7.9700327,-3.0480952,-6.542349,-4.9948807,-5.6143913,-5.494596,-8.26871,-3.3537045,-2.731472,0.36282322,-1.7884767,4.3156257,3.76682,3.416882,2.1706474,3.9555893,1.2514927,0.8065223,-1.5647509,1.2901797,-0.55550784,-0.061525203,-1.259283,-0.44623,-1.5440333,-1.2878337,-1.7876823,0.06457936,0.023581501
